"Zaman damgası","What is your gender? ","What is your department? ","What year are you in school? ","What are your favorite music types? (Select up to 3)","What types of places do you prefer for spending your leisure time?  (Select up to 2)","How often do you listen to music? ","How often do you discuss or debate music with friends? ","Do you feel comfortable sharing your music preferences with others? ","Do you feel the music you listen to reflects who you are? ","Do you think discussing or debating songs helps you socialize? ","How social do you consider yourself? ","Do you prefer listening to music while studying? ","How often do you attend concerts or live music events? ","How important are lyrics to you when listening to music? ","Has there been a turning point in your life that changed your music listening frequency or genre preference? "
"2024/12/11 2:52:11 ÖS GMT+3","Female","Faculty of Engineering","4th year","Pop;Rock;Classical","Library;Sport/Walking Around","3","3","5","3","2","3","2","3","4","No"
"2024/12/11 2:53:03 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rock;Rap;Electronic;Metal;Arabesque","Library;Sport/Walking Around","4","3","5","4","4","3","4","3","3","No"
"2024/12/11 2:53:09 ÖS GMT+3","Female","Faculty of Arts and Sciences","4th year","Pop;Rock;Electronic","Cafes;Parks/Nature;Sport/Walking Around","3","4","5","5","3","3","3","3","3","No"
"2024/12/11 2:55:19 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Pop;Rock;Rap","Home/Dormitory;Library","3","1","3","2","4","5","3","3","3","No"
"2024/12/11 2:56:13 ÖS GMT+3","Female","Faculty of Education","1st year","Pop;Rap;Jazz","Home/Dormitory;Sport/Walking Around","5","4","4","3","4","4","4","2","3","No"
"2024/12/11 2:58:41 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","4th year","Pop","Home/Dormitory","5","3","3","4","3","4","4","4","4","No"
"2024/12/11 2:58:41 ÖS GMT+3","Prefer not to say","Faculty of Arts and Sciences","3rd year","Pop;Soundtrack;R&B","Home/Dormitory;Sport/Walking Around","2","3","5","4","4","4","1","2","4","No"
"2024/12/11 2:59:02 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Rap;Classical;Jazz","Home/Dormitory;Parks/Nature","4","3","2","4","5","4","3","4","4","No"
"2024/12/11 2:59:15 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Pop;Rock;R&B","Cafes;Beaches/Coastal Areas;Sport/Walking Around","4","2","4","4","3","3","2","2","5","No"
"2024/12/11 3:02:34 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rap;Classical;Arabesque","Sport/Walking Around","5","2","1","2","1","3","1","1","1","No"
"2024/12/11 3:02:47 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rap;Classical","Home/Dormitory;Parks/Nature;Library","5","5","3","5","4","3","5","1","5","No"
"2024/12/11 3:03:02 ÖS GMT+3","Female","Faculty of Arts and Sciences","2nd year","Rock;Metal;Soundtrack","Home/Dormitory;Parks/Nature","5","3","4","4","5","4","5","4","3","No"
"2024/12/11 3:03:27 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Pop;Rap;Classical;Arabesque","Home/Dormitory;Library","4","3","5","4","4","4","3","3","3","No"
"2024/12/11 3:04:06 ÖS GMT+3","Female","Faculty of Architecture","5th year or more","Arabesque","Library","2","2","3","3","3","3","5","3","3","No"
"2024/12/11 3:04:25 ÖS GMT+3","Male","Faculty of Engineering","5th year or more","Rock;Metal","Home/Dormitory;Student Club Buildings","5","5","5","5","5","5","5","5","2","I asked my high school friends for suggestions and they introduced me to metal and rock. I have been hooked since"
"2024/12/11 3:04:56 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Rock;Rap;Metal","Cafes;bar","5","2","5","5","3","3","4","3","4","Ayrılık"
"2024/12/11 3:04:57 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop","Home/Dormitory;Beaches/Coastal Areas","3","1","1","3","3","4","2","3","5","No"
"2024/12/11 3:05:39 ÖS GMT+3","Female","Faculty of Education","Preparatory year","Pop;Rap;Classical;R&B;K-pop","Home/Dormitory","4","4","3","4","4","4","2","2","3","No"
"2024/12/11 3:06:12 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Rap;Metal","Sport/Walking Around","3","3","2","2","2","2","2","2","2","No"
"2024/12/11 3:08:40 ÖS GMT+3","Male","Faculty of Arts and Sciences","2nd year","Electronic;Jazz;R&B","Home/Dormitory;Cafes;Library;Sport/Walking Around","4","3","4","3","4","5","4","4","4","No"
"2024/12/11 3:09:50 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rock;Classical;Soundtrack","Beaches/Coastal Areas","4","1","4","1","4","3","1","2","1","No"
"2024/12/11 3:10:59 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Rock;Jazz;R&B","Home/Dormitory;Parks/Nature","5","3","5","5","5","3","5","3","4","No"
"2024/12/11 3:11:36 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Rock","Home/Dormitory;Cafes","4","2","4","4","3","3","3","3","2","No"
"2024/12/11 3:11:49 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Rap","Home/Dormitory;Cafes;Library","4","3","2","4","4","5","4","2","1","After a break up, my music taste has turned into rap more than love songs"
"2024/12/11 3:12:06 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rock;Classical;Metal","Cafes;Library;Student Club Buildings;Sport/Walking Around","5","3","5","5","5","5","5","4","5","Turkish Rock"
"2024/12/11 3:12:51 ÖS GMT+3","Female","Faculty of Arts and Sciences","2nd year","Rock;Jazz;Metal","Cafes;Parks/Nature","5","5","5","5","5","4","4","4","4","My father played a Pink Floyd song I developed an interest in rock/metal music"
"2024/12/11 3:13:06 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Rap","Cafes;Beaches/Coastal Areas;Student Club Buildings;Sport/Walking Around","5","3","5","5","4","4","5","4","3","No"
"2024/12/11 3:13:31 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Rap","Home/Dormitory;Parks/Nature","4","2","4","4","1","5","5","2","3","No"
"2024/12/11 3:13:50 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rock;Rap;Soundtrack","Home/Dormitory;Sport/Walking Around","5","5","5","5","5","5","4","2","5","No"
"2024/12/11 3:14:35 ÖS GMT+3","Female","Faculty of Architecture","2nd year","Pop;Rock;Electronic","Home/Dormitory","4","3","3","5","5","3","4","4","3","No"
"2024/12/11 3:14:46 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rap;Arabesque","Home/Dormitory;Parks/Nature","5","2","4","4","3","2","4","2","2","My friend say that rap is good. Then I start listening Rap. "
"2024/12/11 3:15:01 ÖS GMT+3","Female","Faculty of Engineering","1st year","Country;R&B","Parks/Nature","3","3","5","5","4","4","2","4","5","No"
"2024/12/11 3:21:46 ÖS GMT+3","Male","Faculty of Architecture","4th year","Jazz;R&B","Home/Dormitory;Sport/Walking Around","4","4","4","4","4","5","4","4","4","No"
"2024/12/11 3:21:54 ÖS GMT+3","Female","Faculty of Architecture","4th year","Pop;Jazz;R&B","Home/Dormitory;Cafes","5","4","5","5","5","4","5","3","5","No"
"2024/12/11 3:21:58 ÖS GMT+3","Male","Faculty of Architecture","4th year","Rock;Metal;Punk","Home/Dormitory;Cafes;Sport/Walking Around","3","4","5","4","5","4","1","3","3","No"
"2024/12/11 3:23:11 ÖS GMT+3","Male","Faculty of Engineering","4th year","Rock","Library","3","3","5","5","5","5","5","2","2","No"
"2024/12/11 3:25:58 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Classical","Home/Dormitory;Cafes","4","1","2","1","1","4","4","1","3","No"
"2024/12/11 3:26:27 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","1st year","Pop;Rock;Classical","Home/Dormitory;Parks/Nature;Library","5","2","4","4","4","4","4","2","3","No"
"2024/12/11 3:26:37 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","1st year","Pop;Rock;Arabesque","Home/Dormitory;Sport/Walking Around","4","2","3","2","5","4","5","4","4","No"
"2024/12/11 3:26:38 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Rap","Home/Dormitory;Library","5","4","3","4","5","3","2","3","5","İnternet kafede duyduğum Sancak adlı sanatçının bir şarkısı."
"2024/12/11 3:28:16 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop","Home/Dormitory;Cafes;Library","5","3","4","4","3","4","3","3","4","No"
"2024/12/11 3:28:41 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","4th year","Rock;Rap;R&B","Home/Dormitory;Parks/Nature","4","3","5","4","5","3","3","2","2","No"
"2024/12/11 3:28:41 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","3rd year","Pop;Rock;Rap;Electronic;Classical;Soundtrack;Arabesque","Home/Dormitory;Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","4","3","2","3","4","4","2","2","3","No"
"2024/12/11 3:29:05 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Metal","Cafes;Library","4","3","4","4","3","2","4","3","2","Evet"
"2024/12/11 3:29:27 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Rock;Jazz","Home/Dormitory;Cafes;Library","4","3","3","4","5","2","2","3","2","university entrance exam "
"2024/12/11 3:29:49 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rock;Jazz;Country","Home/Dormitory;Library","3","3","4","5","5","4","5","4","5","No"
"2024/12/11 3:33:10 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Rock;Rap;Classical;Metal;Arabesque","Home/Dormitory;Cafes;Sport/Walking Around","3","2","1","2","3","4","4","3","2","Kickboxa başladığım dönem hypeı yüksek müzikleri dinlemem arttı"
"2024/12/11 3:35:36 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Rock;Metal","Home/Dormitory;Sport/Walking Around","4","5","5","5","4","2","5","1","4","No"
"2024/12/11 3:35:41 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Rock;KPOP","Home/Dormitory","5","5","5","5","5","3","5","1","3","No"
"2024/12/11 3:35:56 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Rock","Parks/Nature;Beaches/Coastal Areas","3","4","5","4","5","4","3","3","3","No"
"2024/12/11 3:38:36 ÖS GMT+3","Female","Faculty of Education","2nd year","Classical","Cafes","5","3","5","5","4","4","3","2","5","No"
"2024/12/11 3:38:51 ÖS GMT+3","Female","Faculty of Engineering","1st year","Rap","Cafes;Library","4","2","4","3","3","4","3","3","3","No"
"2024/12/11 3:40:14 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop","Beaches/Coastal Areas","5","2","3","5","2","4","4","2","3","No"
"2024/12/11 3:40:38 ÖS GMT+3","Prefer not to say","Faculty of Economic and Administrative Sciences","1st year","Classical;Soundtrack;Alternative","Home/Dormitory","5","1","3","3","3","2","3","2","2","No"
"2024/12/11 3:40:40 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Rock;Rap;indie rock ","Home/Dormitory","5","1","2","4","4","2","5","1","3","No"
"2024/12/11 3:40:43 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","1st year","Pop;Rock;Jazz","Home/Dormitory;Cafes","4","3","5","2","5","4","5","3","5","No"
"2024/12/11 3:42:04 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Rock;Classical;Metal","Cafes;Parks/Nature","3","2","5","4","4","5","2","2","3","While studying for the ÖSYM exam, i didn’t listen any music for months as i wanted so"
"2024/12/11 3:43:03 ÖS GMT+3","Male","Faculty of Architecture","4th year","Rock;Electronic;Metal","Home/Dormitory;Cafes","5","3","4","3","4","5","5","3","5","No"
"2024/12/11 3:43:05 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Rap;Classical;Arabesque","Home/Dormitory;Library;Sport/Walking Around","4","3","4","3","3","3","4","3","4","No"
"2024/12/11 3:43:40 ÖS GMT+3","Male","Faculty of Architecture","2nd year","Rap;Classical;Jazz","Home/Dormitory;Cafes;Parks/Nature;Sport/Walking Around","5","5","5","1","4","5","5","4","4","A breakup"
"2024/12/11 3:44:20 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","3rd year","Pop;Electronic;R&B","Home/Dormitory;Sport/Walking Around","4","2","5","5","3","4","2","3","4","No"
"2024/12/11 3:45:05 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rap;Arabesque","Parks/Nature;Sport/Walking Around","4","3","4","2","4","4","2","2","3","No"
"2024/12/11 3:46:53 ÖS GMT+3","Male","Faculty of Engineering","5th year or more","Rock;Rap;Jazz","Home/Dormitory;Sport/Walking Around","4","3","2","3","4","3","5","1","2","No"
"2024/12/11 3:47:07 ÖS GMT+3","Male","Faculty of Architecture","3rd year","Rock;Rap;Classical","Home/Dormitory;Parks/Nature","4","4","5","2","3","4","4","1","3","No"
"2024/12/11 3:47:19 ÖS GMT+3","Male","Faculty of Architecture","3rd year","Rock","Home/Dormitory","5","3","5","5","4","4","1","2","3","No"
"2024/12/11 3:47:24 ÖS GMT+3","Male","Faculty of Architecture","3rd year","Pop;Rock;Rap","Home/Dormitory;Sport/Walking Around","5","3","3","4","3","4","4","2","1","No"
"2024/12/11 3:47:37 ÖS GMT+3","Male","Faculty of Architecture","4th year","Rock;Rap;R&B","Home/Dormitory;Sport/Walking Around","4","1","5","3","3","5","2","1","5","No"
"2024/12/11 3:48:02 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Metal","Home/Dormitory;Cafes","5","3","2","3","3","3","3","2","2","No"
"2024/12/11 3:50:21 ÖS GMT+3","Female","Faculty of Engineering","4th year","Pop;Rock;Metal","Home/Dormitory","3","5","4","3","5","3","2","3","4","No"
"2024/12/11 3:51:26 ÖS GMT+3","Male","Faculty of Education","3rd year","Rock;Rap;Metal","Home/Dormitory;Sport/Walking Around","4","3","5","4","5","5","4","3","5","No"
"2024/12/11 3:51:48 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Arabesque","Cafes","4","1","1","3","2","3","2","3","1","No"
"2024/12/11 3:52:55 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","3rd year","Pop;Rock;Rap","Cafes;Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","5","4","5","5","5","4","5","3","4","No"
"2024/12/11 3:53:21 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Jazz","Home/Dormitory;Cafes","5","5","5","5","4","4","1","3","3","No"
"2024/12/11 3:54:09 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rock;Rap;Metal","Parks/Nature;Sport/Walking Around","5","3","5","4","4","5","4","4","3","No"
"2024/12/11 3:56:42 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Rock;Rap","Home/Dormitory","3","2","4","4","4","3","1","1","2","No"
"2024/12/11 3:57:44 ÖS GMT+3","Other","Faculty of Engineering","2nd year","Pop;Metal;Arabesque","Home/Dormitory;Cafes","5","1","5","5","1","3","4","2","5","No"
"2024/12/11 3:57:44 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Jazz;R&B","Cafes;Sport/Walking Around","3","1","4","5","1","2","4","2","4","No"
"2024/12/11 4:41:00 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Classical","Parks/Nature;","3","2","3","4","3","3","2","2","4","No"
"2024/12/11 4:45:41 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Rap;Jazz","Cafes;Library","5","5","5","5","5","4","5","5","5","Anadolu rock lise yıllarda okuduğum şeyleri etkiledi,sonrasında düşünce yapım değişti"
"2024/12/11 4:46:11 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Pop;Rap;Arabesque","Home/Dormitory;Cafes;Library","4","3","4","5","4","4","4","2","4","No"
